,cloudify,graylog2-server,jackrabbit-oak,jruby,metasploit-framework,open-build-service,openproject,rails,ruby,sonarqube
cloudify,,0.7669799754801798,0.774338604511729,0.7456601788532351,0.7757116418436591,0.7274939172749392,0.7892020089285714,0.6866464577018032,0.7226094606483048,0.7784112504751045
graylog2-server,0.6890200708382527,,0.5109934853420195,0.4319059420206328,0.8349109758846067,0.6803958277614336,0.6048103607770583,0.5959412872729858,0.725265889404627,0.6978609625668449
jackrabbit-oak,0.7286527514231499,0.7295388450353136,,0.8223725613593456,0.7364741523284266,0.8116047144152312,0.8209103557940767,0.8357123250068624,0.7650673911323292,0.8226987909275439
jruby,0.46271613832853026,0.29438515081206496,0.7659767728540842,,0.27535002121340685,0.5728303532490188,0.7184727840465546,0.6673822551509281,0.4561206640483184,0.5957359151302914
metasploit-framework,0.672198110799081,0.8252673354646676,0.28728337808152304,0.24505825369812803,,0.5786738068987242,0.49863645898888187,0.49801956187858704,0.7090620031796503,0.5959509552323924
open-build-service,0.7444726350126858,0.8121810699588478,0.7959829412573944,0.682067909573989,0.7640739915310898,,0.8068085106382978,0.7548818941195995,0.7199417758369724,0.7858527131782945
openproject,0.7542515144879935,0.7321897911191037,0.8471573326861234,0.7491661389064809,0.7485528962601092,0.7913843664677925,,0.7969066561249197,0.7580187191082133,0.8059646539027983
rails,0.7476607304557803,0.7285704481504358,0.8412507135155705,0.8224049089407229,0.7705264939901811,0.8247117942654448,0.8518304802205552,,0.7704846381282942,0.816931216931217
ruby,0.6936954413191077,0.6776623128992277,0.6525235243798118,0.3647890758351622,0.8116229328603475,0.6545813293871008,0.695758365220223,0.6414911173672458,,0.572234762979684
sonarqube,0.7121102248005802,0.7404186320754716,0.7059821153253161,0.8058037544060989,0.7836399290316556,0.7081350064906967,0.8703067328496882,0.744820562300662,0.7920270533914288,
